"agencyIdentification","agencyCode","agencyCity","agencyProvince","agencyPhone","agencyAddress1","agencyCap","agencyEmail","agencyDescription","agencyfax","companyId","companyName","status","order"
"AGCIRIE'53621","53621","CIRIE'","TO","0119210269","VIA ROSMINI 28","10073","53621@UNIPOLSAI.IT","AGENZIA DI TERZOLO E MORABITO SNC","",1,"Cristallo srls","published",""
"AGFOSSANO57476","57476","FOSSANO","  ","017261411","V. CAVOUR 7","12045","57476@UNIPOLSAI.IT","AGENZIA DI TESTA ROBERTO","",1,"Cristallo srls","published",""
"AGACQUI TERME01129","01129","ACQUI TERME","  ","01129","PIAZZA G. MATTEOTTI 1Ã1 BIS","15011","01129@UNIPOLSAI.IT","AGENZIA DI UNI LABOR DI POGGIO &amp; OLIVIERI S","",1,"Cristallo srls","published",""
"AGCOSSATO02621","02621","COSSATO","  ","015980745","VIALE PAJETTA 6, 13836, COSSATO","13836","02621@UNIPOLSAI.IT","AGENZIA DI UNIFOND SRL","",1,"Cristallo srls","published",""
"AGNOVI LIGURE02489","02489","NOVI LIGURE","  ","014375274","C.PAVESE 43/8, 15067, NOVI LIGURE","15067","02489@UNIPOLSAI.IT","AGENZIA DI UNINOVA SRL","",1,"Cristallo srls","published",""
"AGBUSSOLENO64778","64778","BUSSOLENO","  ","0122641671","VIA TRAFORO, 12/A","10053","64778@UNIPOLSAI.IT","AGENZIA DI VALSUSA SRL","",1,"Cristallo srls","published",""
"AGCHIVASSO","49272","CHIVASSO","TO","0119101504","VIA LUNGO PIAZZA D'ARMI, 2, 10034, CHIVASSO","10034","49272@UNIPOLSAI.IT","AGENZIA DI VARETTO ASSNI SNC","",1,"Cristallo srls","published",""
"AGCHIVASSO32178","32178","CHIVASSO","TO","0119101007","VIA TORINO, 78, 10034, CHIVASSO","10034","32178@UNIPOLSAI.IT","AGENZIA DI VERDINI ASSICURAZIONI SNC","",1,"Cristallo srls","published",""
"AGCUORGNE'10240","10240","CUORGNE'","TO","012468587","VIA TORINO 5, 10082, CUORGNE'","10082","10240@UNIPOLSAI.IT","AGENZIA DI VIANINI DAVIDE","",1,"Cristallo srls","published",""
"AGRIVAROLO CANAVESE53771","53771","RIVAROLO CANAVESE","TO","012429454","CORSO ITALIA, 44","10086","53771@UNIPOLSAI.IT","AGENZIA DI VIRONDA MAURIZIO","",1,"Cristallo srls","published",""
"AGTORINO61408","61408","TORINO","TO","011386242","C.SO PESCHIERA, 241/A","10141","61408@UNIPOLSAI.IT","AGENZIA DI ZECCHINO S.A.S. DI ZECCHINO MARIA &amp; C.","",1,"Cristallo srls","published",""
"AGMILANO 21340","1340","MILANO 2","  ","0248084970","","","","AGENZIA DIPENDENTI","",1,"Cristallo srls","published",""
"AGGARLASCO59","59","GARLASCO","  ","0382810466","","","","AGENZIA GARLASCO","",1,"Cristallo srls","published",""
"AGCASALE MONFERRATO 2 ID2","ID2","CASALE MONFERRATO 2 ","  ","0142 77681","","","","AGENZIA GENERALE GENERALI ITALIA CASALE M.TO VIA ROMA","",1,"Cristallo srls","published",""
"AGBRESCIAROVATO 638","ROVATO 638","BRESCIA","BS","0307701198","VIA S. BONOMELLI,","25038","AG_638.01@AGENTIVITTORIA.IT","AGENZIA GENERALE ROVATO","",1,"Cristallo srls","published",""
"AGAOSTA700","700","AOSTA","  ","0165 40338","","","","AGENZIA MIA SRL","",1,"Cristallo srls","published",""
"AGTORINO 59697 ","59697 ","TORINO ","  ","0113358201","","","","AGENZIA MONGINEVRO SRN","",1,"Cristallo srls","published",""
"AGMONCALIERI 4 PICCOLO","PICCOLO","MONCALIERI 4 ","  ","0116807014","","","","AGENZIA PICCOLO","",1,"Cristallo srls","published",""
"AGVENARIA REALE 2 5094","5094","VENARIA REALE 2 ","  ","0114591089","","","","AGENZIA PRINCIPALE DI VENARIA","",1,"Cristallo srls","published",""
"AGCAVA DE' TIRRENI 172","172","CAVA DE' TIRRENI ","  ","89462549","","","","AGENZIA VITTORIA ASSICURAZIONI-SANTORIELLO ASSICURAZIONI SRL","",1,"Cristallo srls","published",""
"AGACQUI TERME016","016","AGRIGENTO","  ","","","","","AGRIGENTO","",1,"Cristallo srls","published",""
"AGAGRIGENTO8103","8103","AGRIGENTO","  ","092223738","","","","AGRIGENTO CENTRO","",1,"Cristallo srls","published",""
"AGAGROPOLI073","073","AGROPOLI","  ","0974825751","","","","AGROPOLI","",1,"Cristallo srls","published",""
"AGCARMAGNOLA1622","1622","CARMAGNOLA","  ","011971472","","","","AIC SRL","",1,"Cristallo srls","published",""
"AGALBAL0076","L0076","ALBA","  ","0173440482","","","","ALBA","",1,"Cristallo srls","published",""
"AGALBA002","002","ALBA","  ","","","","","ALBA","",1,"Cristallo srls","published",""
"AGALBA017","017","ALBA","  ","0173441286","","","","ALBA","",1,"Cristallo srls","published",""
"AGALBA2720","2720","ALBA","  ","0173284190","","","","ALBA","",1,"Cristallo srls","published",""
"AGALBA44325","44325","ALBA","  ","0173284938","","","","ALBA","",1,"Cristallo srls","published",""
"AGALBA2192","2192","ALBA","  ","0173440718","","","","ALBA","",1,"Cristallo srls","published",""
"AGALBA1166","1166","ALBA","  ","","","","","ALBA","",1,"Cristallo srls","published",""
"AGALBA 2 14X","14X","ALBA 2 ","  ","0173 441212","","","","ALBA  ","",1,"Cristallo srls","published",""
"AGALBA0310","0310","ALBA","  ","0173441280","","","","ALBA","",1,"Cristallo srls","published",""
"AGALBA52248","52248","ALBA","  ","0173 440378","","","","ALBA","",1,"Cristallo srls","published",""
"AGALBA301","301","ALBA","  ","0173 284085","","","AG301@AXA-AGENZIE.IT","ALBA","",1,"Cristallo srls","published",""
"AGALBA103","103","ALBA","CN","0173 280404","VIA OGNISSANTI, 30","12051","","ALBA","",1,"Cristallo srls","published",""
"AGALBA90","90","ALBA","  ","0173440528","","","","ALBA 90","",1,"Cristallo srls","published",""
"AGALBA39095","39095","ALBA","  ","0173440528","","","","ALBA 90","",1,"Cristallo srls","published",""
"AGALBA004","004","ALBA","  ","0173284164","","","CN501@AGENZIAZURICH.IT","ALBA C.SO PIAVE","",1,"Cristallo srls","published",""
"AGALBA132","132","ALBA","  ","0173440134","","","ALBA.132@AGENZIE.ITALIANA.IT","ALBA CENTRO ","",1,"Cristallo srls","published",""
"AGALBA 2 132","132","ALBA 2 ","  ","0173440134","","","","ALBA CENTRO","",1,"Cristallo srls","published",""
"AGALBARLS","RLS","ALBA","  ","0173229109","","","","ALBA COPPINO","",1,"Cristallo srls","published",""
"AGALBAT05","T05","ALBA","  ","0173363051","","","","ALBA CORTI DEL VIVARO","",1,"Cristallo srls","published",""
"AGALBAIF0","IF0","ALBA","  ","0173283888","","","","ALBA CRISTO RE","",1,"Cristallo srls","published",""
"AGALBA CRISTO RE3051","3051","ALBA CRISTO RE","  ","0173284144","","","","ALBA CRISTO RE","",1,"Cristallo srls","published",""
"AGALBA CRISTO RE0 2 1 ","0 2 1 ","ALBA CRISTO RE","  ","0173293491","","","","ALBA CRISTO RE","",1,"Cristallo srls","published",""
"AGALBA 2 020","020","ALBA 2 ","  ","0173 440414","","","AG_020.01@AGENTIVITTORIA.IT","ALBA GARIBALDI","",1,"Cristallo srls","published",""
"AGALBA015","015","ALBA","  ","0173440334","","","","ALBA PIAVE","",1,"Cristallo srls","published",""
"AGALBA002","002","ALBA","  ","0173362511","","","","ALBA PIAZZA MICHELE FERRERO 3","",1,"Cristallo srls","published",""
"AG","5902","ALBENGA","  ","0182556070","","","","ALBENGA","",1,"Cristallo srls","published",""
"AGALESSANDRIALG4","LG4","ALESSANDRIA","  ","014255766","","","","ALESSANDRIA","",1,"Cristallo srls","published",""
"AGALESSANDRIA39323","39323","ALESSANDRIA","  ","0131253592","","","","ALESSANDRIA","",1,"Cristallo srls","published",""
"AGALESSANDRIA54257","54257","ALESSANDRIA","  ","013140740","","","","ALESSANDRIA","",1,"Cristallo srls","published",""
"AGALESSANDRIA10229","10229","ALESSANDRIA","  ","","","","","ALESSANDRIA","",1,"Cristallo srls","published",""
"AGALESSANDRIA01","01","ALESSANDRIA","  ","0131231620","","","","ALESSANDRIA","",1,"Cristallo srls","published",""
"AGALESSANDRIA455","455","ALESSANDRIA","  ","0131442427","","","","ALESSANDRIA","",1,"Cristallo srls","published",""
"AGALESSANDRIA120","120","ALESSANDRIA","  ","0131443260","","","","ALESSANDRIA","",1,"Cristallo srls","published",""
"AGALESSANDRIAI01","I01","ALESSANDRIA","  ","0131236246","","","","ALESSANDRIA","",1,"Cristallo srls","published",""
"AGALESSANDRIAT14","T14","ALESSANDRIA","  ","0131 445432","","","","ALESSANDRIA BORSALINO","",1,"Cristallo srls","published",""
"AGALESSANDRIA BORSALINO14 T ","14 T ","ALESSANDRIA BORSALINO","  ","0131445432","","","","ALESSANDRIA BORSALINO 2 ","",1,"Cristallo srls","published",""
"AGALESSANDRIA X12","X12","ALESSANDRIA ","  ","0131 235522","","","","ALESSANDRIA CENTRO","",1,"Cristallo srls","published",""
"AGALESSANDRIA CITTÃX 12","X 12","ALESSANDRIA CITTÃ","  ","0131232877","","","","ALESSANDRIA CITTÃ","",1,"Cristallo srls","published",""
"AGALESSANDRIA028","028","ALESSANDRIA","  ","0131 481490","","","","ALESSANDRIA CRIMEA","",1,"Cristallo srls","published",""
"AGALESSANDRIA026","026","ALESSANDRIA","  ","0131 252422","","","AG_026.01@AGENTIVITTORIA.IT","ALESSANDRIA DANTE","",1,"Cristallo srls","published",""
"AGALESSANDRIA000019","000019","ALESSANDRIA","  ","0131252614","","","","ALESSANDRIA EUROPA","",1,"Cristallo srls","published",""
"AGALESSANDRIA2159","2159","ALESSANDRIA","  ","0131227088","","","","ALESSANDRIA GARIBALDI","",1,"Cristallo srls","published",""
"AGALESSANDRIA1582","1582","ALESSANDRIA","  ","0131 254422","","","","ALESSANDRIA GENERALE - AGENZIA FACCINI E CANEPA","",1,"Cristallo srls","published",""
"AG135","135","ALESSANDRIA LIBERTÃ","  ","0131235522","","","","ALESSANDRIA LIBERTÃ","",1,"Cristallo srls","published",""
"AGALESSANDRIA MAZZINIT08","T08","ALESSANDRIA MAZZINI","  ","0131251115","","","","ALESSANDRIA MAZZINI","",1,"Cristallo srls","published",""
"AGALESSANDRIAT08","T08","ALESSANDRIA","  ","0131 25115","","","","ALESSANDRIA MAZZINI","",1,"Cristallo srls","published",""
"AGALESSANDRIA1335","1335","ALESSANDRIA","  ","01311978083","","","","ALESSANDRIA MONTELLO","",1,"Cristallo srls","published",""
"AGALESSANDRIA","1335","ALESSANDRIA","  ","","VIA MONTELLO, 1","15121","","ALESSANDRIA MONTELLO ","",1,"Cristallo srls","published",""
"AGALESSANDRIA 3LG6","LG6","ALESSANDRIA 3","  ","0131265538","","","","ALESSANDRIA VIA PIACENZA","",1,"Cristallo srls","published",""
"AGALESSANDRIA 2 003","003","ALESSANDRIA 2 ","  ","0131254784","","","","ALESSANDRIA VIA VERDI","",1,"Cristallo srls","published",""
"AGALESSANDRIA 1006","006","ALESSANDRIA 1","  ","0131263246","","","","ALESSANDRIA VIA XXIV MAGGIO","",1,"Cristallo srls","published",""
"AGTORINO VIA PIOA38 PANE","A38 PANE","TORINO VIA PIO","  ","011668 8575","","","","ALESSANDRO PANE","",1,"Cristallo srls","published",""
"AGTORINO666","666","TORINO","  ","","","","","ALIPANI MICHELE","",1,"Cristallo srls","published",""
"AGPADOVA01919","01919","PADOVA","  ","049600225","","","","ALL INSURANCE SRL ","",1,"Cristallo srls","published",""
"AGUDINE1693/907","1693/907","UDINE","  ","04321792049","","","","ALLASSISERVICE SRL","",1,"Cristallo srls","published",""
"AGBUSCA000000000000","000000000000","BUSCA","  ","0174945419","","","","ALLIANZ BUSCA","",1,"Cristallo srls","published",""
"AGSAVIGLIANO 1 232","232","SAVIGLIANO 1 ","  ","017261501","","","","ALLIANZ FOSSANO PIAZZA ROMANISIO, 39 FOSSANO","",1,"Cristallo srls","published",""
"AGIVREA5033","5033","IVREA","  ","0125252763","","","","ALLIANZ IVREA","",1,"Cristallo srls","published",""
"AGSALUZZO223","223","SALUZZO","CN","017542626","","12037","","ALLIANZ LLOYD ADRIATICO","",1,"Cristallo srls","published",""
"AG","ALLIANZ SANTHIÃ","SANTHIÃ","  ","0161930270","","","","ALLIANZ SANTHIÃ","",1,"Cristallo srls","published",""
"AGTORINOAGENZIA TORINO","AGENZIA TORINO","TORINO","  ","011 517 5006","VIA CERNAIA, 16","10122","","ALLIANZ TORINO","",1,"Cristallo srls","published",""
"AGVERCELLI2208","2208","VERCELLI","  ","0161257643","","","","ALLORI","",1,"Cristallo srls","published",""
"AGNIZZA MONFERRATO128","128","NIZZA MONFERRATO","  ","0141701186","","","","ALLOVIO","",1,"Cristallo srls","published",""
"AGNIZZA MONFERRATO0208","0208","NIZZA MONFERRATO","  ","0141701186","","","","ALLOVIO","",1,"Cristallo srls","published",""
"AGALPIGNANO035","035","ALPIGNANO","  ","0119663560","","","","ALPIGNANO","",1,"Cristallo srls","published",""
"AGALPIGNANO243","243","ALPIGNANO","TO","0119663560","","10091","","ALPIGNANO","",1,"Cristallo srls","published",""
"AGALTAMURA MAZZINI000","000","ALTAMURA MAZZINI","  ","080 311 2818","","","","ALTAMURA","",1,"Cristallo srls","published",""
"AGTORINO 2BFM","BFM","TORINO 2","  "," 011 352121","","","","AMINTA SRL","",1,"Cristallo srls","published",""
"AGANDORA958","958","ANDORA","  ","","","","ANDORA@GROUPAMA.IT","ANDORA","",1,"Cristallo srls","published",""
"AGSAVIGLIANO174","174","SAVIGLIANO","  ","0172712368","","","","ANDREA AMBROGGIO SRL","",1,"Cristallo srls","published",""
"AGTORRI DI QUARTESOLO85271","85271","TORRI DI QUARTESOLO","  ","0444525940","","","","ANTHEA SPA","",1,"Cristallo srls","published",""
"AGTORINO155","155","TORINO","TO","0118606511","PIAZZA CAMILLO BENSO CONTE DI CAVOUR","10123","","ANTONELLIANA","",1,"Cristallo srls","published",""
"AGBIELLA  85280"," 85280","BIELLA ","  ","011/5762409","","","","AON","",1,"Cristallo srls","published",""
"AGCUNEOAON","AON","CUNEO","  ","0171 696212","","","","AON CUNEO ","",1,"Cristallo srls","published",""
"AGTORINO CORSO MARCONI000","000","TORINO CORSO MARCONI","  ","0245422607","","","","AON HEWITT","",1,"Cristallo srls","published",""
"AGTORINO 3AON","AON","TORINO 3","  ","011576241","","","","AON SPA","",1,"Cristallo srls","published",""
"AGTORINO042","042","TORINO","  ","011 576241","","","","AON SPA","",1,"Cristallo srls","published",""
"AGMILANO85175","85175","MILANO","  ","800164800","","","","AON SPA AFFINITY","",1,"Cristallo srls","published",""
"AGAOSTA 15E","15E","AOSTA ","  ","016535735","","","","AOSTA","",1,"Cristallo srls","published",""
"AG036","036","AOSTA ","  ","0165 40281","","","","AOSTA ","",1,"Cristallo srls","published",""
"AGAOSTA 2 35015","35015","AOSTA 2 ","  ","0165235757","","","","AOSTA ","",1,"Cristallo srls","published",""
"AGAOSTA 2I03","I03","AOSTA 2","  ","0165278111","","","","AOSTA ","",1,"Cristallo srls","published",""
"AG40182","40182","AOSTA","  ","0165262035","","","","AOSTA","",1,"Cristallo srls","published",""
"AGAOSTA 004","004","AOSTA ","  ","0165 45421","","","","AOSTA","",1,"Cristallo srls","published",""
"AGAOSTAA","A","AOSTA","  ","016535643","","","","AOSTA","",1,"Cristallo srls","published",""
"AGAOSTAAOSTA","AOSTA","AOSTA","  ","0165262035","","","","AOSTA","",1,"Cristallo srls","published",""
"AGAOSTA3043","3043","AOSTA","  ","0165262212","","","","AOSTA","",1,"Cristallo srls","published",""
"AGAOSTARAQ ","RAQ ","AOSTA","  ","","","","","AOSTA","",1,"Cristallo srls","published",""
"AGAOSTA 2 ASD","ASD","AOSTA 2 ","  ","0165553531","","","","AOSTA 2 ","",1,"Cristallo srls","published",""
"AGAOSTA 352291","52291","AOSTA 3","  ","016544419 ","","","","AOSTA 2","",1,"Cristallo srls","published",""
"AGAOSTA 2111111","111111","AOSTA 2","  ","016543680","","","","AOSTA 2","",1,"Cristallo srls","published",""
"AGAOSTA 3 00031","00031","AOSTA 3 ","  "," 0165 40338","","","","AOSTA 3","",1,"Cristallo srls","published",""
"AGAOSTA 5 65048","65048","AOSTA 5 ","  ","0165238666","","","","AOSTA 5 ","",1,"Cristallo srls","published",""
"AGAOSTA GRAND COMBIN111","111","AOSTA GRAND COMBIN","  ","0165 261396","","","","AOSTA GRAND COMBIN","",1,"Cristallo srls","published",""
"AGAOSTA014005","014005","AOSTA","  ","0165 43680","","","","AOSTA MONTE EMILIUS","",1,"Cristallo srls","published",""
"AGMADONNA DELL'OLMO13","13","MADONNA DELL'OLMO","  ","0171417088","","","","APA","",1,"Cristallo srls","published",""
"AGAPOGEO BROKER","APOGEO BROKER","APOGEO BROKER","  ","0131821325","","","","APOGEO BROKER","",1,"Cristallo srls","published",""
"AGTORTONAB10","B10","TORTONA","  ","0131 821325","","","","APOGEO BROKER","",1,"Cristallo srls","published",""
"AGCUNEO00325","00325","CUNEO","  ","0171693326","","","","AR INTERMEDIAZIONI","",1,"Cristallo srls","published",""
"AGCUNEO0000","0000","CUNEO","  ","0171696783","","","INFO@ARINTERMEDIAZIONI.COM","AR INTERMEDIAZIONI","",1,"Cristallo srls","published",""
"AGASTINOO8","NOO8","ASTI","  ","0141530330","","","AGENZIA008@GROUPAMA.IT","ARA","",1,"Cristallo srls","published",""
"AGCUVEGLIO01606","01606","CUVEGLIO","  ","0332624571","","","","ARCURI SAS ","",1,"Cristallo srls","published",""
"AGTORINO POTENZA421","421","TORINO POTENZA","  ","011732291","","","","ARDUINO","",1,"Cristallo srls","published",""
"AGVERONA85195","85195","VERONA","  ","045 818 5411","","","","ARENA BROKER","",1,"Cristallo srls","published",""
"AGSARONNOEHO","EHO","SARONNO","  ","0296703398","","","","ARGENTA SRL","",1,"Cristallo srls","published",""
"AGSENIGALLIA691","691","SENIGALLIA","  ","071 7921020","","","AG_691.01@AGENTIVITTORIA.IT","ARGENTATI PATRIZIA","",1,"Cristallo srls","published",""
"AGVERCELLI427670098","427670098","VERCELLI","  ","0161210200","","","","ARIOSTO","",1,"Cristallo srls","published",""
"AGALBENGA159","159","ALBENGA","  ","0182556070","","","","ARMANINI ASSICURAZIONI","",1,"Cristallo srls","published",""
"AGARONA249","249","ARONA","  ","032246451","","","","ARONA","",1,"Cristallo srls","published",""
"AGLDS","LDS","ARONA","  ","","","","","ARONA","",1,"Cristallo srls","published",""
"AGARONA758","758","ARONA","  ","032248327","","","","ARONA","",1,"Cristallo srls","published",""
"AGARONA001","001","ARONA","  ","0322243227","","","","ARONA","",1,"Cristallo srls","published",""
"AGARONALD8","LD8","ARONA","  ","0322 243582","","","","ARONA","",1,"Cristallo srls","published",""
"AGARONA56609","56609","ARONA","  ","0322242564","","","","ARONA","",1,"Cristallo srls","published",""
"AGARONA306","306","ARONA","  ","0322241541","","","","ARONA","",1,"Cristallo srls","published",""
"AGARONA055","055","ARONA","  ","032244943","","","","ARONA","",1,"Cristallo srls","published",""
"AGARONA852","852","ARONA","  ","0322243582","","","","ARONA","",1,"Cristallo srls","published",""
"AG"," 053","ARONA LAGHI","  ","","","","","ARONA LAGHI","",1,"Cristallo srls","published",""
"AGARONA LAGHI GIUSTO0 5 3 ","0 5 3 ","ARONA LAGHI GIUSTO","  ","0322240611","","","","ARONA LAGHI GIUSTO","",1,"Cristallo srls","published",""
"AGARONA PIAVELDS CORRETTO","LDS CORRETTO","ARONA PIAVE","  ","0322243664","","","","ARONA PIAVE","",1,"Cristallo srls","published",""
"AGTORINOASPEVI PROGETTI SPECIALI F53","F53","TORINO","  ","","","","","ASPEVI PROGETTI SPECIALI ","",1,"Cristallo srls","published",""
"AGBRA","00302","BRA","  ","0172 413269","","","","ASSELLE ADELINA ","",1,"Cristallo srls","published",""
"AGCUNEO316","316","CUNEO","  ","017166858","AG316@AXA-AGENZIE.IT","","","ASSI - ATTIVA DI ABBONA ROBERTO","",1,"Cristallo srls","published",""
"AGASTI 39192","39192","ASTI ","  "," 0141592204","","","","ASSI CONSULT FGP S.N.C.","",1,"Cristallo srls","published",""
"AGBIELLAATO","ATO","BIELLA","  ","015 33990","","","","ASSI FIN CONSULT","",1,"Cristallo srls","published",""
"AGALESSANDRIA 201","201","ALESSANDRIA ","  ","0131260561","","","","ASSI.DA SAS","",1,"Cristallo srls","published",""
"AGTORINO 10506 ","506 ","TORINO 10","  ","0115807384","","","","ASSI.GE.CO.","",1,"Cristallo srls","published",""
"AGCUNEO 241X","41X","CUNEO 2","  ","0171 453693","","","","ASSI+ S.N.C. DI GRASSO OSCAR E CHIARAMELLO LUCA","",1,"Cristallo srls","published",""
"AGALESSANDRIA 2 0102","0102","ALESSANDRIA 2 ","  ","0131266319","","","AG0102@AXA-AGENZIE.IT","ASSIAL SAS","",1,"Cristallo srls","published",""
"AGCUNEO316","316","CUNEO","  ","017165858 ","","","AG0316@AXA-AGENZIE.IT","ASSI-ATTIVA ","",1,"Cristallo srls","published",""
"AGCUNEO041","041","CUNEO","  ","017165858","","","","ASSI-ATTIVA DI ABBONA","",1,"Cristallo srls","published",""
"AGBIELLA 4 39370","39370","BIELLA 4 ","  ","01534123","","","","ASSIBIELLA SRL","",1,"Cristallo srls","published",""
"AGASSIBORGO058","058","ASSIBORGO","  ","0171263611","","","","ASSIBORGO","",1,"Cristallo srls","published",""
"AGALBA 3 35004","35004","ALBA 3 ","  ","0173361771","","","","ASSIC. BISCOTTI DI BISCOTTI F. E C. SNC","",1,"Cristallo srls","published",""
"AGASTI0101","0101","ASTI","  ","","","","ASSICOLTURA@ASSICOLTURA.IT  ","ASSICOLTURA","",1,"Cristallo srls","published",""
"AGASTI 5209","209","ASTI 5","  ","01411781229","","","","ASSICOLTURA ASTI","",1,"Cristallo srls","published",""
"AGCHIERI 1228","228","CHIERI 1","  ","0119478462","","","","ASSICONSULSAS","",1,"Cristallo srls","published",""
"AGMILANOF50","F50","MILANO","  ","0240918093","","","","ASSICONSULT","",1,"Cristallo srls","published",""
"AGBORGARETTO56701","56701","BORGARETTO","  ","0113581239","","","","ASSICONSULT BORGARETTO","",1,"Cristallo srls","published",""
"AGMONDOVÃ 2 306","306","MONDOVÃ 2 ","  ","017442786","","","","ASSICONSULTA","",1,"Cristallo srls","published",""
"AGVIGNOLA","2281","VIGNOLA","  ","800992220","","","","ASSICOOP MODENA &amp; FERRARA S.P.A.","",1,"Cristallo srls","published",""
"AGMONDOVI207","207","MONDOVI","  ","017443968","","","","ASSICUNEO SAS","",1,"Cristallo srls","published",""
"AGIVREA2236","2236","IVREA","  ","0125616462","","","","ASSICURA SNC","",1,"Cristallo srls","published",""
"AGTORINO40022","40022","TORINO","TO","011745223","","","","ASSICURAZIONE CRUDO PIERA","",1,"Cristallo srls","published",""
"AGALBA00","00","ALBA","CN","0173440414","PIAZZA GARIBALDI 3","12051","","ASSICURAZIONI AMERIO &amp; S. SAS DI MERIO GIORGIO","",1,"Cristallo srls","published",""
"AGAREZZO1874","1874","AREZZO","  "," 0575 23287","","","","ASSICURAZIONI AMISSIMA INVEASS SAS DI M.L. FARINA &amp; C.","",1,"Cristallo srls","published",""
"AGLUSERNA SAN GIOVANNI000467","000467","LUSERNA SAN GIOVANNI","TO","0121909107","VIA I MAGGIO 39","10062","PINEROLO@CATTOLICANET.IT","ASSICURAZIONI CATTOLICA COGNO ASSICURAZIONI S.A.S.","",1,"Cristallo srls","published",""
"AGCIRÃNON HA COD","NON HA COD","CIRÃ","  ","0119208900","","","","ASSICURAZIONI DI STANGALINO CARLO E LAVIA ELEONORA S.N.C","",1,"Cristallo srls","published",""
"AGROMA5838","5838","ROMA","  ","0642903601","","","","ASSICURAZIONI QUIRINALE","",1,"Cristallo srls","published",""
"AGARONA0012","0012","ARONA","  ","0322248648","","","","ASSICURAZIONI ZURICH BAGUZZI GIANLUIGI - SEDE DI ARONA","",1,"Cristallo srls","published",""
"AGSALUZZO 2 0188","0188","SALUZZO 2 ","  ","017545398","","","","ASSICURAZIONI ZURICH DI RICCARDO GAVEGLIO","",1,"Cristallo srls","published",""
"AGTORINO39386","39386","TORINO","  ","0113854045","","","","ASSICURIAMO SAS","",1,"Cristallo srls","published",""
"AGTORINO 2ASSIDEI","ASSIDEI","TORINO 2","  ","3714703654","","","","ASSIDEI BROKER","",1,"Cristallo srls","published",""
"AGIVREA159","159","IVREA","  ","0125 627767","","","","ASSIDUE SAS DI LOMUSCIO ROBERTO &amp; C.","",1,"Cristallo srls","published",""
"AGORBASSANO02372","02372","ORBASSANO","  ","0119003462","","","","ASSIEME 2008","",1,"Cristallo srls","published",""
"AGTORINO02372","02372","TORINO","TO","011538012","","10141","","ASSIEME 2008 - C.SO BRUNELLESCHI","",1,"Cristallo srls","published",""
"AGTORINO02372-","02372-","TORINO","  ","","","","","ASSIEME 2008 - SEDE VIA BENEVAGIENNA","",1,"Cristallo srls","published",""
"AGBEINASCO2372 BEINASCO","2372 BEINASCO","BEINASCO","  ","0113275396","","","","ASSIEME 2008 BEINASCO","",1,"Cristallo srls","published",""
"AGCORSO BRESCIA2372/500","2372/500","CORSO BRESCIA","  ","0112475559","","","","ASSIEME 2008 SINISTRI CORSO BRESCIA","",1,"Cristallo srls","published",""
"AGTORINO 3152000","152000","TORINO 3","  ","0118998350","","","","ASSIFIN","",1,"Cristallo srls","published",""
"AGALESSANDRIA0582","0582","ALESSANDRIA","  ","0131251763","","","","ASSIFOUR SAS ","",1,"Cristallo srls","published",""
"AGTORINO 20506","0506","TORINO 2","  ","0115807384","","","AG506@AXA-AGENZIE.IT","ASSIGECO","",1,"Cristallo srls","published",""
"AGTORINO864","864","TORINO","  ","011595997","","","TORINOSTADIO@GROUPAMA.IT","ASSIGEST","",1,"Cristallo srls","published",""
"AGCOLLEGNO577","577","COLLEGNO","  ","011781088","","","","ASSIGROUP COLLEGNO","",1,"Cristallo srls","published",""
"AGTORINO 7577","577","TORINO 7","  ","011 661 2291","","","","ASSIGROUPE","",1,"Cristallo srls","published",""
"AGBERGAMO831","831","BERGAMO","  ","035299833","","","","ASSIKARIM","",1,"Cristallo srls","published",""
"AGASTI64573","64573","ASTI","  "," 0141324642","","","","ASSILAB","",1,"Cristallo srls","published",""
"AGASTI 656652","56652","ASTI 6","  ","0141532100 ","","","","ASSILAB","",1,"Cristallo srls","published",""
"AGASTI56652","56652","ASTI","AT","0141532100","","14100","","ASSILAB DI PUPPIONE STEFANO","",1,"Cristallo srls","published",""
"AGTORINO 5ZGA","ZGA","TORINO 5","  ","011 437 6632","","","","ASSILOGOS","",1,"Cristallo srls","published",""
"AGVIA BENEVAGIENNA 2 3 7 2 "," 2 3 7 2 ","VIA BENEVAGIENNA","  ","0113247995","","","","ASSIME 2008","",1,"Cristallo srls","published",""
"AGCARAGLIO222","222","CARAGLIO","  ","0171 617111","","","","ASSIMOCO CARAGLIO","",1,"Cristallo srls","published",""
"AGCUNEO 2220","220","CUNEO 2","  ","017164570","","","","ASSIMOCO CUNEO","",1,"Cristallo srls","published",""
"AGOULX35654","35654","OULX","  ","0122831082 ","","","","ASSINEVE S.N.C.","",1,"Cristallo srls","published",""
"AGCOMO01017","01017","COMO","  ","031 266123","","","","ASSINSUBRIA SRL","",1,"Cristallo srls","published",""
"AGRIVOLI321","321","RIVOLI","  ","0119531320","","","","ASSINVESTIMENTI","",1,"Cristallo srls","published",""
"AGTORINO1803","1803","TORINO","  ","0115185147","","","","ASSIPIEMONTE 96 S.R.L.","",1,"Cristallo srls","published",""
"AGMONCALIERI 3 85183","85183","MONCALIERI 3 ","  ","0116403816","","","","ASSIPIEMONTE BROKER","",1,"Cristallo srls","published",""
