pointType,pointDescription,pointAddress1,pointCity,pointProvince,pointZip,pointWelcome,pointPhone,pointRefererPhone,pointEmail,pointWelcomeDate,pointHolderPhone
"CRISTALLO","CN_MONCHIERO_01_NABIL AUTORIPARAZIONI	 ","VIA BORGONUOVO B 182","MONCHIERO","CN","12060","","0173792030","3206341347","NABIL.OPEL@VIRGILIO.IT","",""
"CRISTALLO","CN_MONCHIERO_02_MILANO BATTISTA","LOCALITÃ OLTREREA, 17","MONCHIERO","CN","12060","","0173792316","3280450410","","",""
"BCS","CN_MONDOVÃ_01_MIGLIORE E MAMINO SNC DI MAMINO F. &amp; C.","VIA TORINO, 24","MONDOVÃ","CN","12084","","017443972","338 271 3209","","",""
"BCS","CN_MONDOVÃ_02_NUOVA ELETTRODIESEL SNC DI FERRAI A. &amp; MONDINO B.","VIA DOGLIANI 10","MONDOVÃ","CN","12084","","017440268","","NUOVAELETTRODIESELMONDOVI@BOSCHCARSERVICE.IT","",""
"BCS","CN_MONDOVÃ_03_VALAUTO SERVICE SRL","VIA TORINO, 77","MONDOVÃ","CN","12084","","0174562433","","VALAUTO.SERVICE@BOSCHCARSERVICE.IT","",""
"CRISTALLO","CN_MONDOVÃ_04_AUTOFFICINA BOGGIONE ","VIA TRIESTE 28","MONDOVÃ","CN","12084","","","","","","3923108871"
"CRISTALLO","CN_MONDOVÃ_05_AUTOMOBILI TONELLI SNC","VIA TORINO 18","MONDOVÃ","CN","12084","","","","INFO@TONELLIAUTORIPARAZIONI.IT","",""
"CRISTALLO","CN_MONDOVÃ_07_BRUNO GOMME","CORSO FIRENZE 12 A","MONDOVÃ","CN","12084","","017442304","3351664606","INFO@BRUNOGOMME.IT","","3924779169"
"CRISTALLO","CN_MONDOVÃ_08_PNEUMATICI PERETTI SNC","VIA CLAVESANA 12","MONDOVÃ","CN","12084","","","","INFO@PNEUMATICIPERETTI.COM","","3351455600"
"CRISTALLO","CN_MONDOVÃ_09_SERVICE GARAGE","VIA ASTI 106","MONDOVI","CN","12084","","","3466888872","SERVICEGARAGE.CN@GMAIL.COM","","3805933986"
"CRISTALLO","CN_MONDOVÃ_10_AUTOFFICINA TECNOSERVICE SRL ","VIA TORINO, 49/C","MONDOVÃ","CN","12084","true","","39371598","AUTOFFICINATECNOSERVICE@GMAIL.COM","17/01/2023 08:42","371 598 5651"
"ACREW","CN_MONDOVI'_10_SOWASH","PIAZZA GIOVANNI JEMINA, 47 - PRESSO AOUTLET MONDOVICINO","MONDOVÃ","CN","12084","true","3892045606","","SOWASH.AUTOLAVAGGIO@GMAIL.COM","06/10/2020 10:23",""
"CRISTALLO","CN_MONDOVÃ_11_ C.R.B. BELBRUNO S. CENTRO REVISIONI","VIA TORINO 49/D","MONDOVÃ","CN","12089","","0174698355","","","",""
"BCS","CN_MONTA'_01_CARROZZERIA CASETTA","VIA PRASANINO 1","MONTA'","CN","12046","","0173976490","3382150122","CASETTA@CARROZZERIACASETTA.IT","","3347497426"
"CRISTALLO","CN_MONTÃ_01_CASETTA GOMME SNC","CORSO A.MANZONI 121","MONTA'","CN","12046","","0173976265","3454901177","INFO@CASETTAGOMME.COM","",""
"CRISTALLO","CN_MONTÃ_02_VISCAUTO SNC","CORSO A.MANZONI 65","MONTA'","CN","12046","true","0173976162","3341057098","VISCAUTO@LIBERO.IT","11/01/2021 09:01",""
"CRISTALLO","CN_MONTICELLO D'ALBA_01_NORD SERVICE SNC ","S.S. 231/4 A ","MONTICELLO D'ALBA","CN","12066","","0173615135","3398809415","NORDSERVICE@ALICE.IT","",""
"CRISTALLO","CN_MONTICELLO D'ALBA_02_GIANNI MARCHIARO AUTOMOBILI","SS231, 11","MONTICELLO D'ALBA","CN","12066","true","","","AMMINISTRAZIONE@GIANNIMARCHIARO.IT","09/02/2024 15:33",""
"CRISTALLO","CN_MORETTA_01_ELETTRAUTO M.C. ","VIA POLLANO, 27","MORETTA","CN","12033","","3334204942","","","",""
"BCS","CN_MORETTA_02_SORASIO SNC ELETTRAUTO DI SORASIO MASSIMO &amp; C.V","VIA MANTA, 34","MORETTA","CN","12033","","017293596","335 707 0433","ELET.SORASIO@LIBERO.IT","",""
"CRISTALLO","CN_MUSSOTTO_01_OFFICINA PIEMONTE DI BOGGIONE MICHELE E CRISTIAN	","CORSO CANALE 12E","MUSSOTTO","CN","12051","","017335984","349 198 8345","OFFICINAPIEMONTE@HOTMAIL.IT","",""
"CRISTALLO","CN_NARZOLE_01_TARICCO AUTO","VIA MARTIRI DELLA LIBERAZIONE 81","NARZOLE","CN","12068","true","017377360","335 687 5282","TARICCOAUTO@PEC.IT","14/10/2020 15:00",""
"CRISTALLO","CN_NEIVE_01_C.R. GEM","CORSO SCAGLIOLA, 201","NEIVE","CN","12052","","0173677427","3480064747","CRGEM.NEIVE@LIBERO.IT","",""
"CRISTALLO","CN_PAESANA_01_CAMIA FABIO AUTORIP.","VIA BELLONI 4","PAESANA","CN","12034","true","017594204","","AUTORIPARAZIONICAMIA@GMAIL.COM","03/12/2021 09:13",""
"CRISTALLO","CN_PAGNO_01_GIUSIANO AUTORIPARAZIONI","VIA SAN GRATO 1","PAGNO","CN","12030","","3402659123","","","",""
"CRISTALLO","CN_PEVERAGNO_01_D&amp;D SERVICE SNC			","VIA BOVES 51 B","PEVERAGNO","CN","12016","","0171338061","3452179825","INFO@DDSERVICE.EU","",""
"CRISTALLO","CN_PEVERAGNO_02_CARROZZERIA LA PEVERAGNESE","VIA BOSCHI, 46","PEVERAGNO","CN","12016","true","0171338230","3407183488","LAPEVERAGNESE@YAHOO.IT","17/11/2021 09:05",""
"CRISTALLO","CN_PEVERAGNO_03_AUTORIPARAZIONI ROSSO ALEX","VIA SAN GIOVANNI, 7","PEVERAGNO","CN","12016","","0171383092","348 726 0736","ROSSO-ALESSANDRO@LIBERO.IT ","",""
"CRISTALLO","CN_PIANFEI_01_FILIPPI MOTOR GARAGE DI FILIPPI SERGIO","VIA CUNEO, 81/F","PIANFEI","CN","12080","","0174585646","366 391 2225","","",""
"BCS","CN_POLONGHERA_01_AUTO SERVICE SNC DI GRANATA MICHELANGELO E PIETRO","VIA MURELLO, 9","POLONGHERA","CN","12030","","011974451"," 346 144 912","AUTOSERVICEM@LIBERO.IT","",""
"BCS","CN_PRIOLA_01_ROBERI VITTORIO","VIA NAZIONALE, 45","PRIOLA","CN","12070","","017488377","","OFFICINA.ROBERI@BOSCHCARSERVICE.IT","",""
"CRISTALLO","CN_RACCONIGI_01_BRL SERVICE","STRADA STATALE 20 NÂ°18","RACCONIGI","CN","12035","","017286233","347 885 9466","BRLSERVICE83@GMAIL.COM","",""
"BCS","CN_RACCONIGI_02_CA.DO.CAR. SNC DI PIASCO DOMENICO &amp; C.","STRADA DEL BARRAGGIO, 4","RACCONIGI","CN","12035","","017284384","339 366 6593","CADOCAR@LIBERO.IT","",""
"CRISTALLO","CN_RACCONIGI_03_OFFICINA TESTA","VIA UMBERTO I 16","RACCONIGI","CN","12035","","017286445","347 012 1264","","",""
"CRISTALLO","CN_RACCONIGI_04_TESIO GOMME","SP 20 LOCALITÃ PEDAGGERA (143,22 KM)","CAVALLERLEONE","CN","12030","","347 0112685","347 011 2685","INFO@TESIOGOMME.IT","",""
"BCS","CN_REVELLO_01_AGÃ F.LLI SNC DI AGÃ OSVALDO &amp; C.","VIA SALUZZO, 46","REVELLO","CN","12036","","0175257205","340 097 2861","AGUREV.AGU@VIRGILIO.IT","",""
"CRISTALLO","CN_REVELLO_02_FERRERO OFFICINA MECCANICA","VIA MOLINENGO 1BIS","REVELLO","CN","12036","","0175257097","3291554266","DANIELE.FERRERO86@GMAIL.COM","",""
"CRISTALLO","CN_REVELLO_03_FRANDINO THUNDERBOLT","VIA SALUZZO 82","REVELLO","CN","12036","","0175257833","335 802 8840","GIAMPIERO.FRANDINO@ALICE.IT","",""
"CRISTALLO","CN_REVELLO_04_AUTORIPARAZIONI MONDINO SNC","VIALE UMBERTO I 45","REVELLO","CN","12036","true","0175257122","348 385 8303","OFFICINAMONDINO@VIRGILIO.IT","25/03/2021 15:46",""
"CRISTALLO","CN_REVELLO_05_AUTORIPARAZIONI BLENGINO","VIA DON MICHELE LERDA 6","REVELLO","CN","12036","true","0175257675","346 099 1754","BLENGIO.E@LIBERO.IT","02/04/2021 17:23",""
"CRISTALLO","CN_REVELLO_06_AUTORIPARAZIONI BLENGINO","VIA SALUZZO, 18","REVELLO","CN","12036","","","349 874 7921","","",""
"CRISTALLO","CN_RICCA DI DIANO D'ALBA_01_PASSAVANTI MARCO RIPARAZIONI				","VIA CORTEMILIA 120","RICCA DI DIANO D'ALBA","CN","12055","","","3356230953","SDEGAM@TISCALI.IT	","",""
"CRISTALLO","CN_RICCA DI DIANO D'ALBA_02_AUTOCARROZZERIA RIVETTI E MARCON DI POGGIO ENRICO E C. SNC","VIA ALBA CORTEMILIA, 64","DIANO D'ALBA","CN","12055","","0173441384"," 333 869 693","","",""
"CRISTALLO","CN_RORETO DI CHERASCO_01_BRA CAR SERVICE ","VIA SAVIGLIANO 36","RORETODICHERASCO","CN","12062","","0172B495453","338 963 2102","INFO@BRACARSERVICE.IT","",""
"CRISTALLO","CN_RORETO DI CHERASCO_02_CASASOLA GOMME SNC","VIA CUNEO 55","RORETODICHERASCO","CN","12062","","0172499006","334 883 6744","INFO@CASASOLAGOMME.IT","",""
"CRISTALLO","CN_RORETO DI CHERASCO_03_L.L. AUTOCARROZZERIA DI LENTA PAOLO &amp; C. SNC					","VIA S.ROCCO 12C","RORETO DI CHERASCO","CN","12062","","0172495922","","INFO@LLCARROZZERIA.COM","",""
"DEROGHE","CN_RORETO DI CHERASCO_04_PMS MOTOR","VIA XXV APRILE, 12","RORETO DI CHERASCO ","CN","12062","","","3293437905","INFO@PMSMOTOR.IT","",""
"CRISTALLO","CN_SALICETO_01_A.D.M. FACTORY","LOCALITA' RITANO BERGALLI 4","SALICETO","CN","12079","","","366 421 5644","ADM.CARROZZERIA@GMAIL.COM","",""
"BCS","CN_SALUZZO_01_EURO OFFICINE SRL","VIA PROPANOTTO, 14","SALUZZO","CN","12037","","0175277040","339 406 0000","MARCO.BANCHIO@EURO-OFFICINE.IT","",""
"CRISTALLO","CN_SALUZZO_02_EZIO BORGNA					","CORSO XXVII APRILE, 26","SALUZZO","CN","12037","","0175277095","3391934400","EZIOBORGNA@YAHOO.COM","",""
"CRISTALLO","CN_SALUZZO_03_GARAGE ITALIA SRL","VIA CIRCONVALLAZIONE 25A","SALUZZO","CN","12037","","017543353","","GARAGEITALIA@CNNET.IT","",""
"CRISTALLO","CN_SALUZZO_04_M.P. VILLOSIO SERVICE","VIA SAVIGLIANO 36/2","SALUZZO","CN","12037","","","","SEGRETERIA@VILLOSIOGOMME.COM","","017541960"
"BCS","CN_SALUZZO_05_OFFICINA ARDUSSO SNC DI ARDUSSO ROBERTO &amp; C.","VIA SAVIGLIANO, 36/A","SALUZZO","CN","12037","true","017543388","","ARDUSSO.GIU@GMAIL.COM","20/06/2023 15:24",""
"BCS","CN_SALUZZO_06_PAROLA PIERO","VIA F.LLI GAGLIARDONE, 1","SALUZZO","CN","12037","","017546334"," 338 961 114","AUTOFFICINA.PAROLA@LIBERO.IT","",""
"CRISTALLO","CN_SALUZZO_07_SOTIRA ALFREDO","VIA BODONI 125/A		","SALUZZO","CN","12037","","0175248884","340 8707445","LANDROVERSERVICE.SOTIRA@GMAIL.COM","",""
"CRISTALLO","CN_SALUZZO_08_AUTORIPARAZIONI JOLLY","VIA PIGNARI 17","SALUZZO","CN","12037","","","3472211820","AUTORIP.JOLLY@GMAIL.COM","",""
"CRISTALLO","CN_SALUZZO_09_P.F GARAGE","EGIONE TORRAZZA 23/B SSP 663","SALUZZO","CN","12037","","","333 859 8544","","",""
"CRISTALLO","CN_SALUZZO_10_DISTRIBUTORE COSTANTIN BI-GAS","VIA DI TORINO, 23/B","TORRAZZA","CN","12037","","","333 859 8544","","",""
"CRISTALLO","CN_SAN MICHELE MONDOVÃ_01_GANDOLFI SAS","VIA NAZIONALE (S.S.28) 14","SAN MICHELE MONDOVÃ","CN","12080","true","0174222617","3384756410","CROSETTIGANDOLFI@ALICE.IT","28/10/2020 15:57",""
"CRISTALLO","CN_SANFRONT_01_AUTORIPARAZIONI VALLE PO","VIA ARCIERO, 4","SANFRONT","CN","12030","","0175948555","","AUTORIPARAZIONIVALLEPO@GMAIL.COM","",""
"CRISTALLO","CN_SANT'ALBANO STURA_01_RC AUTORIPARAZIONI DI ROCCA CRISTIAN","VIA BELTRUTTO","SANT'ALBANO STURA","CN","12040","true","017267181","348 639 1993","RC.ELETTRAUTO@TISCALI.IT","11/03/2021 15:02",""
"CRISTALLO","CN_SANT'ALBANO STURA_02_AUTOCARROZZERIA F.LLI DOTTA DI DOTTA DARIO E C. SNC","VIA SANTO STEFANO 10","SANT'ALBANO STURA","CN","12040","","017267132","335 833 5432","INFO@CARROZZERIADOTTA.IT","",""
"BCS","CN_SANTO STEFANO BELBO_01_MARENCO F.LLI SNC DI STEFANO E NATALE","VIA CESARE PAVESE, 29","SANTOSTEFANOBELBO","CN","12058","","0141844296","335337222","MARENCOFLLI@LIBERO.IT","",""
"BCS","CN_SAVIGLIANO_01_AG SERVICE","VIA FRATELLI FISSORE 13","SAVIGLIANO","CN","12038","","01721961228","335 573 8013","INFO@AGSERVICEAUTO.IT","",""
"ACREW","CN_SAVIGLIANO_02_APV SERVICE SRL","VIA DELLA MORINA, 2","SAVIGLIANO","CN","12038","","0172726843","","AMMINISTRAZIONE.APV@GMAIL.COM","","0172726843"
"BCS","CN_SAVIGLIANO_03_BORIO FILIPPO SNC DI BORIO F.&amp; MARENGO A. ELETTRAUTO","VIA TORINO, 134","SAVIGLIANO","CN","12038","","0172715001","333 871 5949","ELETTRAUTO.BORIO@LIBERO.IT","",""
"BCS","CN_SAVIGLIANO_04_MIGLIORE SAS DI MIGLIORE LUCA STEFANO &amp; C.","VIA DELL'ARTIGIANATO, 47/49","SAVIGLIANO","CN","12038","","0172712946","","MIGLIORE.SAS@BOSCHCARSERVICE.IT","",""
"CRISTALLO","CN_SAVIGLIANO_05_ELETTRAUTO CORNAGLIA S.A.S.				 ","VIA GIORGIO BERGESIO, 10","SAVIGLIANO","CN","12038","","0172742284","3357634032","INFO@ELETTRAUTOCORNAGLIA.COM","",""
"CRISTALLO","CN_SAVIGLIANO_06_OFFICINA CARS DI CINUS ALESSIO","STRADA MONASTEROLO 3","SAVIGLIANO","CN","12038","true","01721795362","371 334 1584","ALESSIO.CINUS84@GMAIL.COM","29/10/2020 12:25",""
"CRISTALLO","CN_SAVIGLIANO_07_OFFICINA GAGLIASSO AUTORIPARAZIONI","VIA TORINO, 187/A","SAVIGLIANO","CN","12038","true","017221443","348 122 5336","OFFICINA.GAGLIASSO@GMAIL.COM","15/06/2021 14:43",""
"CRISTALLO","CN_SAVIGLIANO_08_GRANDA CAR SERVICE","VIA MELLONERA, 42","SAVIGLIANO ","CN","12038","true","","340051121","INFO@GRANDACARSERVICE.IT","28/09/2022 15:01",""
"CRISTALLO","CN_SAVIGLIANO_09_SIMAUTO MOTORI SRLS","VIA MONTEBIANCO, 28","SAVIGLIANO","CN","12042","","","34995298","","","335 623 9216"
"CRISTALLO","CN_SOMMARIVA BOSCO_01_AUTORIPARAZIONI E CENTRO REVISIONI VERRE SNC","VIA ALDO MORO, 8","SOMMARIVA DEL BOSCO","CN","12048","true","017255251","329 298 1815","VERRESNC81@GMAIL.COM","22/07/2020 11:11","329 339 8159"
"CRISTALLO","CN_TRINITA'_01_VANITY CAR","CORSO PIEMONTE 3 ","TRINITÃ","CN","12049","","01721806077","340 903 6696","INFO.VANITY.CAR@GMAIL.COM","",""
"CRISTALLO","CN_VACCHERIA GUARENE_01_BOGGIONE","STRADA PORINI 5D","VACCHERIA GUARENE","CN","12050","","","","ALBAREVISIONI@LIBERO.IT","","3381818351"
"DEROGHE","CN_VERZUOLO_01_OFFICINA MECCANICA BONARDO","VIA VILLANOVETTA 22/24/26","VERZUOLO","CN","12039","","017585225","339 303 1705","DAVIDEBONARDO@ALICE.IT","",""
"CRISTALLO","CN_VEZZA D'ALBA_01_DELSANTO MAURO","VIA MONSIGNOR VIGOLUNGO 3","VEZZA D'ALBA","CN","12040","","017365531","3355886395","AMMINISTRAZIONE@AUTORIPARAZIONIDELSANTO.IT","",""
"CRISTALLO","CN_VICOFORTE_01_CARROZZERIA CAMPERI","STRADA STATALE 8/E","VICOFORTE","CN","12080","","0174 563164","338 989 7264","CARROZZERIACAMPERI@LIBERO.IT","",""
"CRISTALLO","CN_VICOFORTE_02_CARROZZERIA CUNIBERTI","VIA DELLE ACQUE 3","VICOFORTE","CN","12080","true","0174563646","3939204949","INFO@CARROZZERIACUNIBERTI.IT","28/10/2020 15:29",""
"CRISTALLO","CN_VIGNOLO_01_AUTOCARROZZERIA DI TECCO CLAUDIO","VIA CERVASCA 2","VIGNOLO","CN","12010","","017148120","334 717 4940","TEX@AUTOCARROZZERIATECCO.COM","",""
"CRISTALLO","CN_VIGNOLO_02_MASSA'S BROTHER SERVICE","VIA ROCCASPARVERA 13","VIGNOLO","CN","12010","","0171409940","340 618 7563","INFO@MASSASERVICE.COM","",""
"CRISTALLO","CN_VILLAFALLETTO_01_NUOVA MEGAUT DI GIORDANA MARCO","VIA EZIO GIRAUDO, 18","VILLAFALLETTO ","CN","12020","","","338 779 2044","","",""
"CRISTALLO","CN_VILLANOVA MONDOVÃ_01_ KWIK FIT - ASVEGO PNEUMATICI SNC","FRAZIONE BONGIOVANNI 43","VILLANOVA DI MONDOVI'","CN","12089","","","","ASVEGO@KWIK-FIT.IT","","3356974009"
"BCS","CN_VILLAR SAN COSTANZO_01_BERNARDI &amp; PRANDI SNC","VIA PROVINCIALE, 145","VILLARSANCOSTANZO","CN","12020","","0171902350","","BERNARDI.PRANDI@ISILINE.IT","",""
"CRISTALLO","COMUNE DI ZUBIENA","VIA MARTIRI DELLA LIBERTÃ 3","ZUBIENA ","BI","13888","","","","","",""
"CRISTALLO","CREMONA_01_CB PNEUMATICI  CREMONA","VIA MANTOVA, 143","CREMONA","CR","26100","","0372808982","","CREMONA@VEGOM.COM","",""
"DEROGHE","CUNEO_01_PEUGEOT CUNEOTRE SPA","VIA TORINO 216A","CUNEO","CN","12100","","0171403434","","","",""
"CRISTALLO","CUNEO_03_OFFICINA ANFOSSI GIACOMO &amp;C. SNC","VIA SAVONA 85","CUNEO","CN","12100","","","3470398405","GIANFOSSI@HOTMAIL.IT","",""
"CRISTALLO","CUNEO_04_AUTO SERVICE SNC","VIA CASCINA COLOMBARO 55","CUNEO","CN","12100","true","","3285327956","AUTOSERVICECUNEO@VIRGILIO.IT","26/10/2022 15:06",""
"CRISTALLO","CUNEO_05_ELETTRAUTO PAGLIERO ALBERTO","VIALE VECCHI STAZIONE 2","CUNEO","CN","12100","","","","","","3402939055"
"CRISTALLO","CUNEO_06_DADONE ","CORSO GRAMSCI 25","CUNEO","CN","12100","","","","INFO@DADONEGOMME.COM","",""
"DEROGHE","CUNEO_07_VEGOM CENTRO REVISIONI (CUNEO 1)","CORSO FRANCIA 251","CUNEO","CN","12100","","0171344970","","REVISIONE@VEGOM.COM","",""
"CRISTALLO","CUNEO_08_OFFICINA CENTRO REVISIONI COMETTO - L'AUTO SRL","VIA TPRINO 173","CUNEO","CN","12100","","0171413960","393 051 2982","LAUTOCUNEOSRL@LIBERO.IT","",""
"CRISTALLO","CUNEO_09_TARDIVO E PAOLETTI SNC","VIA ROCCA 20","CUNEO","CN","12100","true","0171682426","338 171 4362","TARDIVOPAOLETTI@LIBERO.IT","03/05/2021 11:45",""
"CRISTALLO","CUNEO_10_AUTOSERVICE DI B. &amp; P. SNC","VIA CASCINA COLOMBARO, 55","CUNEO","CN","12100","true","0171603073","3334292432","AUTOSERVICEBP@VIRGILIO.IT","12/03/2021 08:51",""
"DEROGHE","FANTINO ANDREA AUTORIPARAZIONI"," VIA VALLE GRANA, 82","TORRAZZA - MEINERI","CN","12010","true","0171687202","","FANTINO.AUTORIPARAZIONI@GMAIL.COM","01/12/2021 11:50",""
"CRISTALLO","FERIE TECNICO","VIA CIAO","TORINO","TO","10022","","","","","",""
"BCS","G.S. CONCESSIONARIO BOSCH","VIA DELLA MOTORIZZAZIONE, 2","CUNEO","CN","12100","","0171412377","","","",""
"BCS","G.S. SPA","VIA AOSTA, 5","VENARIA REALE","TO","10078","","","","","",""
"BCS","G.S. SPA ","VIA AMERIGO VESPUCCI, 21","ASTI","AT","14100","","","","","",""
"CRISTALLO","GE_01_CARASCO_FERRETTI GIULIO","VIA ANTONIO MOSO, 37","CARASCO","GE","16042","","","3497404672","","",""
"CRISTALLO","GE_CARASCO_01_AUTOFFICINA DEVOTO FABIO","VIA STATALE S. PIETRO, 45","CARASCO","GE","16042",""," 0185350412","3806486171","DEVOTOFABIO@PEC.IT","",""
"CRISTALLO","GE_CASARZA LIGURE_01_MUZIO JURI SNC","VIA ALCIDE DE GASPERI, 37/R","CASARZA LIGURE","GE","16030","",""," 347 223 644","","",""
"CRISTALLO","GE_CHIAVARI_01_AUTOFFICINA FAVA MASSIMO SNC","VIA PIACENZA 170/172 ","CHIAVARI","GE","16043","true","0185308383","3899740053","PRESSBLOCKCHIAVARI@GMAIL.COM","21/01/2022 16:17","3288648112"
"CRISTALLO","GE_CHIAVARI_02_RGS MOTORS","VIALE SAN PIO X, 11","CHIAVARI","GE","16043","","","3457180276","RGSMOTORS@LIBERO.IT","",""
"CRISTALLO","GE_CHIAVARI_03_ANDREANI ANGELO AUTORIPARAZIONI","VIA PIACENZA 13","CHIAVARI","GE","16043","","0185309019","3281643319","","",""
"CRISTALLO","GE_CHIAVARI_04_MECCANICO ROSSI FABRIZIO","VIA GIANNOTTO BADO, 10","CHIAVARI","GE","16043","","0185307139","3470185365","OFF.ROSSI@LIBERO.IT","",""
"CRISTALLO","GE_CHIAVARI_05_CHECK UP AUTO DI BRUZZESE LUCIANO S.N.C.","VIA PIACENZA, 112","CHIAVARI","GE","16043","","0185302398","3356924260","CHECKUP.AUTO@LIBERO.IT","",""
"CRISTALLO","GE_CHIAVARI_06_AUTOFFICINA LEO","LARGO MORETTI 5-7-8","CHIAVARI","GE","16043","","0185309809","3474885155","LEONARDO_COLACROSSI@FASTWEB.IT","",""
"CRISTALLO","GE_CHIAVARI_07_AUTOGIANNI","VIALE SERGIO KASMAN, 35","CHIAVARI","GE","16035","true","","3357790165","AUTOGIANNI@LIBERO.IT","21/03/2022 10:52",""
"CRISTALLO","GE_CHIAVARI_08_SPINETTO ANDREA","VIA PIACENZA 247","CHIAVARI","GE","16043","","","3476209057","ANDREASPINETTO@GMAIL.COM","",""
"BCS","GE_CHIAVARI_09_AUTOFFICINA MONTEVERDE DI MONTEVERDE ORNELLA  S.A.S.","VIA PARMA 123","CHIAVARI","GE","16043","true","","331 477 8338","OFFICINA.MONTEVERDE@GMAIL.COM","18/03/2022 10:19",""
"CRISTALLO","GE_CICAGNA_01_AUTOCARROZZERIE SANDRO SAS","VIA ISOLALUNGA, 68","CICAGNA","TO","16044","","018592049","","","",""
"CRISTALLO","GE_CICAGNA_01_DE MARTINI MIRKO MARIO AUTOCARROZZERIA","VIA PONTE BACCIONI, 40","CICAGNA","GE","16044","","018592312","3341225063","DEMARTINIMIRKO@HOTMAIL.IT","",""
"CRISTALLO","GE_LAVAGNA_01_AUTORICAMBI LAVAGNA","CORSO GENOVA 63","LAVAGNA","GE","16033","true","0185393161","","AUTORICAMBILAVAGNA@LIBERO.IT","24/11/2021 11:16",""
"CRISTALLO","GE_LAVAGNA_02_OFFICINA FRATELLI DE SOLE DI DE SOLE CLAUDIO","VIA GIUSEPPE GARIBALDI 11","LAVAGNA","GE","16033","true","0185304525","3483800142","CLAUDIODESOLE@LIBERO.IT","18/02/2022 11:51",""
"CRISTALLO","GE_LAVAGNA_03_MORUZZI ANGELO","VIA BATTISTI, 33/9","LAVAGNA","GE","16033","","","3464911459","","",""
"BCS","GE_LAVAGNA_04_A.R.S. CAR LAVAGNA S.N.C. DI SANDRO CHIAPPE &amp; C.","VIA RIBOLI E. 44","LAVAGNA","GE","16033","","01851771996","3284589533","ARSCARLAVAGNA@LIBERO.IT","",""
"CRISTALLO","GE_LAVAGNA_05_AUTOFFICINA FE.MA SNC","PIAZZA TORINO, 28/29","LAVAGNA","GE","16033","","0185395795","","","",""
"CRISTALLO","GE_LAVAGNA_06_JCARS GARAGE","VIA DEGLI ORTI 14","LAVAGNA","GE","16033","","0185043423","3455098931","JCARS.LAVAGNA@GMAIL.COM","",""
"CRISTALLO","GE_RAPALLO_01_CAR FIRE RAPALLO","VIA LAGGIARO, 74","RAPALLO","GE","16035","","018556026","3498835437","INFO@CARFIRE.IT","",""
"CRISTALLO","GE_RAPALLO_02_BAVASTRELLO GIOVANNI","VIA SAN PIETRO, 55","RAPALLO","GE","16035","","","3358061643","","",""
"CRISTALLO","GE_RAPALLO_03_AUTOPLANET","VIA VOLTA, 60/A","RAPALLO","GE","16035","true","","3358380021","AUTOPLANET@LIVE.IT","30/12/2022 13:09",""
"CRISTALLO","GE_RAPALLO_04_AUTOCARROZZERIOA LAGGIARO DI ARMINETTI ROBERTO","VIA LAGGIARO 106","RAPALLO","GE","16035","","018553377","3332603807","ARMINETTI@LIBERO.IT","",""
"CRISTALLO","GE_RAPALLO_05_AUTOFFICINA DA GIULI DI CANEPA GIULIANO","VIA SANTA MARIA DEL CAMPO, 100","RAPALLO","GE","16035","","","","","",""
"CRISTALLO","GE_RAPALLO_06_CARROZZERIA AMICA DI NIEDDECONDO","VIA SAN PIETRO DI NOVELLA, 9/A","RAPALLO","GE","16035","","","3494251936","","",""
"CRISTALLO","GE_RAPALLO_07_AUTOCARROZZERIA  RAPALLO","VIA S.ANNA,42","RAPALLO","GE","16035","true","0185264709","","AUTOCARROZZERIARAPALLOSNC@GMAIL.COM","11/01/2023 12:23",""
"CRISTALLO","GE_RAPALLO_08_AUTOSOCCORSO DE BARBIERI SNC","VIA S.MARIA DEL CAMPO, 13","RAPALLO ","GE","16135","true","0185261264","","AUTOSOCCORSODB@GMAIL.COM","21/11/2023 15:03",""
"BCS","GE_RECCO_01_RIOTTI SAS DI CORDIGLIA LORENZO","VIA VALLEVERDE, 7","RECCO","GE","16036","","018574040","3487551006","AUTOSOCCORSORIOTTI@GMAIL.COM","",""
"CRISTALLO","GE_REZZOAGLIO_01_AUTOFFICINA LUCA ","VIA ISOLA ROTONDA, 15","REZZOAGLIO","GE","16048","","","3477897007","AUTOFFICINALUCA@LIBERO.IT","",""
"CRISTALLO","GE_SAN COLOMBANO CERTENOLI_01_CAMPER CORNER SAS","VIA NORERO, 58","SAN COLOMBANO CERTENOLI","GE","16040","","0185358463","3476998360","INFO@CAMPERCORNER.IT","",""
"CRISTALLO","GE_SAN COLOMBANO CERTENOLI_01_STAR CARS S.N.C.","VIA DANTE ALIGHIERI, 13","SAN COLOMBANO CERTENOLI","GE","16040","true","","339 663 5860","STARCARSLORYEMA@GMAIL.COM","07/12/2023 11:19",""
"CRISTALLO","GE_SAN COLOMBANO CERTENOLI_02_GOMMISTA A DOMICILIO PIT STOP","VIA FELICITO RAGGIO","SAN COLOMBANO CERTENOLI","GE","16040","","","3464911459","PITSTOPACASATUA@GMAIL.COM","",""
"CRISTALLO","GE_SANTA MARGHERITA LIGURE_01_MOTUS CAR SNC","VIA DOGALI, 58/1","SANTA MARGHERITA LIGURE","GE","16038","","0185286464","3332525970","MOTUS-CAR@LIBERO.IT","",""
